well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
d10,1,35,40_B8,40 evolved,0.8859749999999997,97
d10,1,38,40_B8,40 evolved,0.8775374999999996,97
d10,1,41,40_B8,40 evolved,0.8012921874999998,97
d10,1,42,40_B8,40 evolved,0.4198369791666666,97
d10,2,25,35_E9,35 evolved,0.6571062500000001,97
d10,2,35,35_E9,35 evolved,0.8724718750000001,97
d10,2,38,35_E9,35 evolved,0.8992838541666668,97
d10,2,41,35_E9,35 evolved,0.5484333333333332,97
d10,2,42,35_E9,35 evolved,0.06142343749999997,97
d10,3,25,35_C5,35 evolved,0.6308499999999997,97
d10,3,35,35_C5,35 evolved,0.8921791666666666,97
d10,3,38,35_C5,35 evolved,0.9124958333333332,97
d10,3,41,35_C5,35 evolved,0.4371145833333333,97
d10,3,42,35_C5,35 evolved,0.1328802083333333,97
d11,2,25,40_B2,40 evolved,0.6659239583333333,97
d11,2,35,40_B2,40 evolved,0.9561208333333336,97
d11,2,38,40_B2,40 evolved,0.9251911458333333,97
d11,2,41,40_B2,40 evolved,0.7780302083333334,97
d11,2,42,40_B2,40 evolved,0.4347942708333333,97
d2,1,25,40_B8,40 evolved,0.6527687499999999,97
d2,1,35,40_B8,40 evolved,0.8970114583333335,97
d2,1,38,40_B8,40 evolved,0.9239031249999999,97
d2,1,41,40_B8,40 evolved,0.769938020833333,97
d2,1,42,40_B8,40 evolved,0.13733593749999995,97
d2,2,25,40_C9,40 evolved,0.6886489583333332,97
d2,2,35,40_C9,40 evolved,0.8850718750000004,97
d2,2,38,40_C9,40 evolved,0.9082088541666667,97
d2,2,41,40_C9,40 evolved,0.7364739583333333,97
d2,2,42,40_C9,40 evolved,0.16221093750000004,97
d2,3,25,35_C9,35 evolved,0.6253135416666668,97
d2,3,35,35_C9,35 evolved,0.8189614583333332,97
d2,3,38,35_C9,35 evolved,0.9012583333333334,97
d2,3,41,35_C9,35 evolved,0.6341875000000001,97
d2,3,42,35_C9,35 evolved,0.05255833333333332,97
d3,2,25,35_D8,35 evolved,0.6608375,97
d3,2,35,35_D8,35 evolved,0.8844593750000002,97
d3,2,38,35_D8,35 evolved,0.8938755208333334,97
d3,2,41,35_D8,35 evolved,0.4299729166666666,97
d3,2,42,35_D8,35 evolved,0.07402135416666668,97
d4,1,25,40_F2,40 evolved,0.6798374999999998,97
d4,1,35,40_F2,40 evolved,0.8017322916666666,97
d4,1,38,40_F2,40 evolved,0.9042697916666664,97
d4,1,41,40_F2,40 evolved,0.6977630208333332,97
d4,1,42,40_F2,40 evolved,0.18745260416666668,97
d4,2,25,35_D8,35 evolved,0.6347645833333333,97
d4,2,35,35_D8,35 evolved,0.7203395833333335,97
d4,2,38,35_D8,35 evolved,0.9253442708333333,97
d4,2,41,35_D8,35 evolved,0.3436552083333333,97
d4,2,42,35_D8,35 evolved,0.0709296875,97
d5,1,25,40_C7,40 evolved,0.6596208333333332,97
d5,1,35,40_C7,40 evolved,0.8555104166666665,97
d5,1,38,40_C7,40 evolved,0.8910187500000001,97
d5,1,41,40_C7,40 evolved,0.6233859375,97
d5,1,42,40_C7,40 evolved,0.12142968749999997,97
d5,2,25,40_E9,40 evolved,0.584665625,97
d5,2,35,40_E9,40 evolved,0.8405354166666666,97
d5,2,38,40_E9,40 evolved,0.8648963541666665,97
d5,2,41,40_E9,40 evolved,0.667515625,97
d5,2,42,40_E9,40 evolved,0.08616406250000001,97
d5,3,25,35_E7,35 evolved,0.674227083333333,97
d5,3,35,35_E7,35 evolved,0.8904958333333332,97
d5,3,38,35_E7,35 evolved,0.8885697916666669,97
d5,3,41,35_E7,35 evolved,0.27169895833333335,97
d5,3,42,35_E7,35 evolved,0.052974999999999994,97
d6,2,25,35_G9,35 evolved,0.6995864583333334,97
d6,2,35,35_G9,35 evolved,0.8784604166666667,97
d6,2,38,35_G9,35 evolved,0.9135984374999995,97
d6,2,41,35_G9,35 evolved,0.4218791666666665,97
d6,2,42,35_G9,35 evolved,0.05379635416666666,97
d6,3,25,35_C9,35 evolved,0.6553354166666665,97
d6,3,35,35_C9,35 evolved,0.7489260416666665,97
d6,3,38,35_C9,35 evolved,0.8772750000000004,97
d6,3,41,35_C9,35 evolved,0.3227177083333333,97
d6,3,42,35_C9,35 evolved,0.05729479166666666,97
d7,1,25,35_B6,35 evolved,0.696525,97
d7,1,35,35_B6,35 evolved,0.864953125,97
d7,1,38,35_B6,35 evolved,0.9149562499999998,97
d7,1,41,35_B6,35 evolved,0.3228755208333334,97
d7,1,42,35_B6,35 evolved,0.08723906249999998,97
d7,3,25,40_D8,40 evolved,0.622128125,97
d7,3,35,40_D8,40 evolved,0.8537114583333331,97
d7,3,38,40_D8,40 evolved,0.8421374999999999,97
d7,3,41,40_D8,40 evolved,0.6726635416666665,97
d7,3,42,40_D8,40 evolved,0.08916249999999995,97
d8,2,25,40_C9,40 evolved,0.6829479166666665,97
d8,2,35,40_C9,40 evolved,0.9231885416666665,97
d8,2,38,40_C9,40 evolved,1.0131588541666665,97
d8,2,41,40_C9,40 evolved,0.7532312499999999,97
d8,2,42,40_C9,40 evolved,0.10221302083333329,97
d9,2,25,40_C9,40 evolved,0.6486447916666664,97
d9,2,35,40_C9,40 evolved,0.9088770833333333,97
d9,2,38,40_C9,40 evolved,0.9289796875,97
