rep.id,well,block,test_temperature,strain,evolution_history,mu,r2
c3_2_25_40_G11_40 evolved,c3,2,25,40_G11,40 evolved,3.6590697998791835,0.997043148539014
c4_2_25_40_E11_40 evolved,c4,2,25,40_E11,40 evolved,3.610407094425389,0.9964641042760558
c5_2_25_40_E9_40 evolved,c5,2,25,40_E9,40 evolved,3.041123775882136,0.9958686822062004
c9_2_25_fRS585_fRS585,c9,2,25,fRS585,fRS585,3.470696019704234,0.9959624906233365
d10_2_25_35_E9_35 evolved,d10,2,25,35_E9,35 evolved,3.517812436322976,0.9962959871688939
d11_2_25_40_B2_40 evolved,d11,2,25,40_B2,40 evolved,3.569743389085628,0.9972496892126852
d2_2_25_40_C9_40 evolved,d2,2,25,40_C9,40 evolved,3.592870980906313,0.9965541128921123
d3_2_25_35_D8_35 evolved,d3,2,25,35_D8,35 evolved,3.6069293412207326,0.9964782159769411
d4_2_25_35_D8_35 evolved,d4,2,25,35_D8,35 evolved,3.485784419405184,0.9961245151231899
d5_2_25_40_E9_40 evolved,d5,2,25,40_E9,40 evolved,3.3573041247059336,0.9961289018111436
d6_2_25_35_G9_35 evolved,d6,2,25,35_G9,35 evolved,3.6200661058792174,0.9967075628299222
d8_2_25_40_C9_40 evolved,d8,2,25,40_C9,40 evolved,3.602017583178625,0.9964123027146079
d9_2_25_40_C9_40 evolved,d9,2,25,40_C9,40 evolved,3.485875397371435,0.9963982690478683
e10_2_25_fRS585_fRS585,e10,2,25,fRS585,fRS585,3.4776771622359615,0.9961201521131936
e11_2_25_40_E11_40 evolved,e11,2,25,40_E11,40 evolved,3.6411693866973263,0.9963983906010775
e3_2_25_35_C7_35 evolved,e3,2,25,35_C7,35 evolved,3.556121892415586,0.9963219418897025
e8_2_25_35_C7_35 evolved,e8,2,25,35_C7,35 evolved,3.5842905260092564,0.9963461226600481
e9_2_25_35_B2_35 evolved,e9,2,25,35_B2,35 evolved,3.6232712096891784,0.9962009365884917
f11_2_25_35_B2_35 evolved,f11,2,25,35_B2,35 evolved,3.5635593262076295,0.9960677640875126
f2_2_25_35_F6_35 evolved,f2,2,25,35_F6,35 evolved,3.524927597118796,0.9967730804223573
f3_2_25_40_F4_40 evolved,f3,2,25,40_F4,40 evolved,3.621320689422067,0.9968757907954164
f4_2_25_40_G11_40 evolved,f4,2,25,40_G11,40 evolved,3.616605257980924,0.9969020179657824
f5_2_25_40_B2_40 evolved,f5,2,25,40_B2,40 evolved,3.5796295364287696,0.997261833224144
f7_2_25_40_F4_40 evolved,f7,2,25,40_F4,40 evolved,3.6318971575771375,0.9968106459154719
f8_2_25_35_G9_35 evolved,f8,2,25,35_G9,35 evolved,3.613314800952842,0.9966856396405477
f9_2_25_35_F6_35 evolved,f9,2,25,35_F6,35 evolved,3.5580374097062673,0.9964530881358692
g3_2_25_35_G9_35 evolved,g3,2,25,35_G9,35 evolved,3.5416538066990215,0.9966220039085621
g5_2_25_40_F4_40 evolved,g5,2,25,40_F4,40 evolved,3.7238292022916917,0.9970054388840962
g6_2_25_35_F6_35 evolved,g6,2,25,35_F6,35 evolved,3.6127452975467134,0.9966713948389044
g8_2_25_35_E9_35 evolved,g8,2,25,35_E9,35 evolved,3.5585649354435596,0.9963091312254796
b11_2_38_35_D8_35 evolved,b11,2,38,35_D8,35 evolved,6.995694337041272,0.9975050074036836
b2_2_38_35_E9_35 evolved,b2,2,38,35_E9,35 evolved,6.828801406653614,0.9905644330579491
b3_2_38_40_E9_40 evolved,b3,2,38,40_E9,40 evolved,5.897023928349355,0.9971094264437594
b4_2_38_40_G11_40 evolved,b4,2,38,40_G11,40 evolved,7.333798287125076,0.9971191287491541
b5_2_38_40_E11_40 evolved,b5,2,38,40_E11,40 evolved,6.915105257428164,0.99741213783141
b8_2_38_35_B2_35 evolved,b8,2,38,35_B2,35 evolved,7.0831610428469025,0.9825676413161624
