strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50,th_c_c,log_ic50_c
35_C7,35 evolved,40.99768413302007,0.13629823394905008,caspofungin,0.015508101257635675,0.024838070031222455,-4.166392729814085,0.1587971022576653,0.05806225107548002
35_C7,35 evolved,40.99768413302007,0.13629823394905008,fluconazole,16.871650951258264,0.08643387826025611,2.825634754914717,0.1587971022576653,0.0963076501777218
35_G5,35 evolved,40.65320201996798,0.15039383343359664,amphotericin,0.1512640376951938,0.0552607360342808,-1.888728375169987,-0.18568501079442967,-0.37858953593389755
35_G5,35 evolved,40.65320201996798,0.15039383343359664,caspofungin,0.015278070187622495,0.04921213130450586,-4.181336799841417,-0.18568501079442967,0.0431181810481478
35_G5,35 evolved,40.65320201996798,0.15039383343359664,fluconazole,23.19063103881984,0.07333777021411936,3.1437483625755123,-0.18568501079442967,0.41442125783851713
40_B2,40 evolved,41.610926289723295,0.11606793222714656,fluconazole,19.598866155546194,0.05295038775484342,2.975471715356315,0.18914722104373993,-0.39166346309358824
40_B2,40 evolved,41.610926289723295,0.11606793222714656,caspofungin,0.028995456350324616,0.06365162604709186,-3.54061613884589,0.20566114783673584,0.3539962102031642
40_B2,40 evolved,41.610926289723295,0.11606793222714656,amphotericin,1.9221751561678921,0.05851176559203009,0.6534574386371694,0.18914722104373993,0.5565345825605265
40_E7,40 evolved,41.31471501333067,0.023956138405922575,fluconazole,30.225323039332576,0.11365764535713249,3.4086800842628513,-0.10706405534888574,0.04154490581294823
40_E7,40 evolved,41.31471501333067,0.023956138405922575,amphotericin,0.8708082117276781,0.14765942201243668,-0.13833351957011442,-0.10706405534888574,-0.23525637564675736
40_E7,40 evolved,41.31471501333067,0.023956138405922575,caspofungin,0.025400664558416913,0.0972985805640616,-3.672979941582709,-0.09055012855588984,0.22163240746634516
40_C7,40 evolved,41.303125438465486,0.042278708174475044,fluconazole,24.76794669726185,0.05072031550446968,3.2095503453241645,-0.1186536302140695,-0.15758483312573857
40_C7,40 evolved,41.303125438465486,0.042278708174475044,caspofungin,0.01647561836299869,0.10511411575932518,-4.105873665883743,-0.10213970342107359,-0.21126131683468863
40_C7,40 evolved,41.303125438465486,0.042278708174475044,amphotericin,0.8095307383238656,0.09098118166928118,-0.21130053459788425,-0.1186536302140695,-0.3082233906745272
