well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
g6,2,35,35_F6,35 evolved,24,0.23958333333333337,0.2708333333333333,13.259713720246802,0.999846505431031,4
g6,2,38,35_F6,35 evolved,22,0.21875,0.25,13.890510639498384,0.9999800046275289,4
g6,2,41,35_F6,35 evolved,24,0.23958333333333337,0.2708333333333333,5.377629619785891,0.9996091064699806,4
g6,2,42,35_F6,35 evolved,17,0.16666666666666666,0.19791666666666663,1.939935098561507,0.999918337903294,4
g6,3,25,WT_CASP_3,Caspofungin evolved,35,0.3541666666666667,0.3854166666666667,8.15178780220754,0.999972451342589,4
g6,3,35,WT_CASP_3,Caspofungin evolved,21,0.20833333333333337,0.23958333333333337,15.983497007488394,0.9999275354115573,4
g6,3,38,WT_CASP_3,Caspofungin evolved,20,0.19791666666666663,0.22916666666666663,14.99701175365787,0.9999691875467588,4
g6,3,41,WT_CASP_3,Caspofungin evolved,27,0.2708333333333333,0.3020833333333333,9.166069940916703,0.9998739370429439,4
g6,3,42,WT_CASP_3,Caspofungin evolved,17,0.16666666666666666,0.19791666666666663,1.5286546514914363,0.9845385075088328,4
g7,1,25,40_G9,40 evolved,34,0.34375,0.375,8.14916246556211,0.9995218854599519,4
g7,1,35,40_G9,40 evolved,19,0.1875,0.21875,13.747031202116105,0.9999906167463284,4
g7,1,38,40_G9,40 evolved,20,0.19791666666666663,0.22916666666666663,14.487365098945501,0.9999078147102142,4
g7,1,41,40_G9,40 evolved,28,0.28125,0.3125,8.22030681380797,0.9997326551838522,4
g7,1,42,40_G9,40 evolved,22,0.21875,0.25,4.384088677871289,0.9995830977670003,4
g7,3,25,35_C5,35 evolved,35,0.3541666666666667,0.3854166666666667,8.508582844236633,0.9996904464256259,4
g7,3,35,35_C5,35 evolved,22,0.21875,0.25,13.235964800954516,0.9998182295509883,4
g7,3,38,35_C5,35 evolved,23,0.22916666666666663,0.2604166666666667,13.827066048938018,0.9999121220211101,4
g7,3,41,35_C5,35 evolved,39,0.3958333333333333,0.4270833333333333,13.17241820883257,0.9711467113212364,4
g7,3,42,35_C5,35 evolved,23,0.22916666666666663,0.2604166666666667,3.442006133725257,0.9990081955021294,4
g8,1,25,35_G11,35 evolved,35,0.3541666666666667,0.3854166666666667,8.498394999676323,0.9999712926911346,4
g8,1,35,35_G11,35 evolved,22,0.21875,0.25,13.163819010016919,0.999962970206807,4
g8,1,38,35_G11,35 evolved,23,0.22916666666666663,0.2604166666666667,13.71158860478372,0.9998223741158733,4
g8,1,41,35_G11,35 evolved,25,0.25,0.28125,5.355096179968739,0.9974364662009181,4
g8,1,42,35_G11,35 evolved,19,0.1875,0.21875,3.8311563572202885,0.9991021188045498,4
g8,2,25,35_E9,35 evolved,38,0.3854166666666667,0.4166666666666667,8.421417842721755,0.9999913253743283,4
g8,2,35,35_E9,35 evolved,23,0.22916666666666663,0.2604166666666667,13.120552249673288,0.9999603802412365,4
g8,2,38,35_E9,35 evolved,22,0.21875,0.25,14.030708204452752,0.9998964765378933,4
g8,2,41,35_E9,35 evolved,66,0.6770833333333334,0.7083333333333334,5.810830909640041,0.7281451150599273,4
g8,2,42,35_E9,35 evolved,20,0.19791666666666663,0.22916666666666663,2.143936268447636,0.9930466050735692,4
g8,3,25,40_B6,40 evolved,38,0.3854166666666667,0.4166666666666667,8.21171537547494,0.9999855679336122,4
g8,3,35,40_B6,40 evolved,25,0.25,0.28125,11.86035842109455,0.9999908424972606,4
g8,3,38,40_B6,40 evolved,24,0.23958333333333337,0.2708333333333333,12.267638090176485,0.9999766563237753,4
g8,3,41,40_B6,40 evolved,33,0.3333333333333333,0.3645833333333333,9.011105334850443,0.9998173806006603,4
g8,3,42,40_B6,40 evolved,26,0.2604166666666667,0.2916666666666667,2.3329248479357645,0.9998819056466072,4
g9,1,25,35_D4,35 evolved,35,0.3541666666666667,0.3854166666666667,8.524299817074684,0.9999168616606765,4
g9,1,35,35_D4,35 evolved,22,0.21875,0.25,13.076602611566273,0.9997485809197583,4
g9,1,38,35_D4,35 evolved,23,0.22916666666666663,0.2604166666666667,13.855067184483913,0.9999843208601263,4
g9,1,41,35_D4,35 evolved,49,0.5,0.53125,18.854805725697315,0.6513206332627237,4
g9,1,42,35_D4,35 evolved,22,0.21875,0.25,3.123420449299409,0.992558385848911,4
