population,evolution_history,rep,set,drug,month,ic50,bot,top,slope,converged,ic50_anc,log_ratio
40_C9,40 evolved,Rep2,Set4,amphotericin,March,0.40967055484115505,0,0.970493447955076,7.197529981605522,TRUE,0.33397371289648337,0.2947296500289276
40_C9,40 evolved,Rep2,Set4,caspofungin,March,0.016335610442362522,2.9998501923217624e-4,0.9668999936672626,24.969107005650216,TRUE,0.006070431213365576,1.4281494604402099
40_C9,40 evolved,Rep2,Set4,fluconazole,March,27.803874046196654,0.15563356697802155,1.0402766590017507,6.134734711052035,TRUE,14.598948352718006,0.9294214674043739
40_C9,40 evolved,Rep3,Plate1,fluconazole,February,45.568161515960725,0.06384589117946496,0.9502876984387455,3.5557980124141686,TRUE,28.361293525804843,0.6841028313156166
40_C9,40 evolved,Rep3,Set1,amphotericin,January,1.8880246075310056,0.0016667521437644228,1.0110625360851642,25.360745680650307,TRUE,1.478971118308755,0.3522836887308085
40_C9,40 evolved,Rep3,Set1,caspofungin,January,0.0015375795247109642,0,1.5633948646383358,0.3975326129619784,TRUE,0.004439944085689679,-1.529880478551294
40_C9,40 evolved,Rep3,Set4,amphotericin,March,0.3211808586384258,0,0.9569569035588408,6.514160365770697,TRUE,0.25070037416607605,0.3574217659922123
40_C9,40 evolved,Rep3,Set4,caspofungin,March,0.01752840093599752,0,0.8507481081306467,8.967619080090977,TRUE,0.016425933839836322,0.09371899698128416
40_C9,40 evolved,Rep3,Set4,fluconazole,March,12.23439853765281,0,0.9878190930295601,0.7381109003588213,TRUE,18.1951363365597,-0.5726096833712107
40_D2,40 evolved,Rep1,Plate2,fluconazole,February,28.79518361714874,0.02230807455904204,0.8251905371719099,5.289857552709291,TRUE,31.271295784971084,-0.11901147964291425
40_D2,40 evolved,Rep1,Set2,amphotericin,January,1.2610413791232693,0,0.7692377392930361,6.946913620787087,TRUE,1.3753228970719913,-0.12515475679818117
40_D2,40 evolved,Rep1,Set2,caspofungin,January,0.0213185639171332,0,0.8256747064696108,4.845060353056475,TRUE,0.029216091852601853,-0.45465294906323717
40_D2,40 evolved,Rep2,Plate2,fluconazole,February,28.033562835996463,0.023954432378970512,0.8205993668488586,3.3362241193378726,TRUE,25.37501987539926,0.1437461584215063
40_D2,40 evolved,Rep2,Set2,amphotericin,January,0.9999064658563972,0,0.8126140516824403,3.218407876928934,TRUE,1.4864912448699976,-0.5720459136476097
40_D2,40 evolved,Rep2,Set2,caspofungin,January,0.017887442910118616,0,0.8724243880072589,2.1582912158083873,TRUE,0.01982610951875311,-0.14845444258879503
40_D2,40 evolved,Rep3,Plate2,fluconazole,February,22.502349084022864,0.016055699955796133,0.7189790056253917,4.90173995603283,TRUE,13.985027034470253,0.6861925736377885
40_D2,40 evolved,Rep3,Set2,amphotericin,January,0.6311470889392282,0.0013440158897206674,0.7925317191599043,2.965997142256104,TRUE,1.2329562615471157,-0.9660734519907587
40_D2,40 evolved,Rep3,Set2,caspofungin,January,0.031009155035573457,3.2000016607996974e-4,0.766783333113026,31.96618876964742,TRUE,0.026636431188687797,0.2192934149735697
40_D4,40 evolved,Rep1,Plate2,fluconazole,February,21.642668209386528,0.03558235767040126,0.9179558025446093,4.825245711690801,TRUE,31.271295784971084,-0.530960628961302
40_D4,40 evolved,Rep1,Set2,amphotericin,January,1.370750881635627,0.001959239155880689,0.8770764596990254,6.858471186155285,TRUE,1.3753228970719913,-0.004803971504887539
