time,well,OD,treatment,test_temperature
60688.1,G7,0.04969999939203262,water,41
60688.1,G8,0.050200000405311584,water,41
60688.1,G9,0.05139999836683273,water,41
60688.1,G10,0.051600001752376556,water,41
60688.1,G11,0.04989999905228615,water,41
60688.1,G12,0.050200000405311584,water,41
60688.1,H1,0.05209999904036522,water,41
60688.1,H2,0.050599999725818634,water,41
61667,A1,0.10119999945163727,fRS585,41
61667,A2,0.09440000355243683,fRS585,41
61667,A3,0.08950000256299973,fRS585,41
61667,A4,0.0917000025510788,fRS585,41
61667,A5,0.0885000005364418,fRS585,41
61667,A6,0.08669999986886978,fRS585,41
61667,A7,0.08760000020265579,fRS585,41
61667,A8,0.08980000019073486,fRS585,41
61667,A9,0.09059999883174896,fRS585,41
61667,A10,0.09870000183582306,fRS585,41
61667,A11,0.09709999710321426,fRS585,41
61667,A12,0.12030000239610672,fRS585,41
61667,B1,0.06729999929666519,blank,41
61667,B2,0.06920000165700912,blank,41
61667,B3,0.07109999656677246,blank,41
61667,B4,0.06939999759197235,blank,41
61667,B5,0.07090000063180923,blank,41
61667,B6,0.07109999656677246,blank,41
61667,B7,0.06809999793767929,blank,41
61667,B8,0.06880000233650208,blank,41
61667,B9,0.06880000233650208,blank,41
61667,B10,0.06610000133514404,blank,41
61667,B11,0.0706000030040741,blank,41
61667,B12,0.07050000131130219,blank,41
61667,C1,0.05260000005364418,water,41
61667,C2,0.050999999046325684,water,41
61667,C3,0.05209999904036522,water,41
61667,C4,0.051100000739097595,water,41
61667,C5,0.05220000073313713,water,41
61667,C6,0.05169999971985817,water,41
61667,C7,0.05090000107884407,water,41
61667,C8,0.053199999034404755,water,41
61667,C9,0.05180000141263008,water,41
61667,C10,0.051899999380111694,water,41
61667,C11,0.04969999939203262,water,41
61667,C12,0.05130000039935112,water,41
61667,D1,0.05130000039935112,water,41
61667,D2,0.050999999046325684,water,41
61667,D3,0.05040000006556511,water,41
61667,D4,0.05000000074505806,water,41
61667,D5,0.04960000142455101,water,41
61667,D6,0.05050000175833702,water,41
61667,D7,0.050700001418590546,water,41
61667,D8,0.05130000039935112,water,41
