well,block,test_temperature,strain,evolution_history,window_idx,window_size,days_start,days_end,mu,r_squared
d8,3,42,WT_CASP_3,Caspofungin evolved,22,5,0.21875,0.2604166666666667,1.6997187090061525,0.9998902814699765
d9,2,25,40_C9,40 evolved,36,5,0.3645833333333333,0.40625,8.187391328234359,0.9998544421257886
d9,2,35,40_C9,40 evolved,23,5,0.22916666666666663,0.2708333333333333,13.223332796157708,0.9999719361819049
d9,2,38,40_C9,40 evolved,22,5,0.21875,0.2604166666666667,13.817647791058013,0.9998930971750454
d9,2,41,40_C9,40 evolved,26,5,0.2604166666666667,0.3020833333333333,8.222273299555274,0.9996481574804855
d9,2,42,40_C9,40 evolved,28,5,0.28125,0.3229166666666667,3.2975218362002763,0.9992106465662078
e10,1,25,fRS585,fRS585,37,5,0.375,0.4166666666666667,8.407734491744176,0.9999449275574989
e10,1,35,fRS585,fRS585,20,5,0.19791666666666663,0.23958333333333337,12.95617102130258,0.9999894939013431
e10,1,38,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.545066177787824,0.9998841169800505
e10,1,41,fRS585,fRS585,23,5,0.22916666666666663,0.2708333333333333,5.98124603621611,0.9988858310963715
e10,1,42,fRS585,fRS585,22,5,0.21875,0.2604166666666667,3.5429236840445903,0.9995624394233716
e10,2,25,fRS585,fRS585,37,5,0.375,0.4166666666666667,8.203620841672144,0.9999489922372937
e10,2,35,fRS585,fRS585,23,5,0.22916666666666663,0.2708333333333333,13.14675117850519,0.9999399810635925
e10,2,38,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.961251238446769,0.9999347583714312
e10,2,41,fRS585,fRS585,23,5,0.22916666666666663,0.2708333333333333,6.715835863695573,0.9997730937203171
e10,2,42,fRS585,fRS585,21,5,0.20833333333333337,0.25,2.2852274089790465,0.9965303595976304
e10,3,25,WT_FLZ_1,Fluconazole evolved,35,5,0.3541666666666667,0.3958333333333333,8.402504348958388,0.9999321443062371
e10,3,35,WT_FLZ_1,Fluconazole evolved,20,6,0.19791666666666663,0.25,13.75294609192257,0.9999518109892744
e10,3,38,WT_FLZ_1,Fluconazole evolved,22,5,0.21875,0.2604166666666667,14.209106239669314,0.9999800506923237
e10,3,41,WT_FLZ_1,Fluconazole evolved,20,5,0.19791666666666663,0.23958333333333337,4.6388375848302115,0.9997613809080611
e10,3,42,WT_FLZ_1,Fluconazole evolved,20,5,0.19791666666666663,0.23958333333333337,2.8901839451345692,0.9996827678312777
e11,2,25,40_E11,40 evolved,37,5,0.375,0.4166666666666667,8.412437043167007,0.9999877014903309
e11,2,35,40_E11,40 evolved,23,5,0.22916666666666663,0.2708333333333333,13.077176591247257,0.9999850290896354
e11,2,38,40_E11,40 evolved,22,5,0.21875,0.2604166666666667,13.58811698244365,0.9999787180134415
e11,2,41,40_E11,40 evolved,28,6,0.28125,0.3333333333333333,8.282457167580183,0.9999393569424812
e11,2,42,40_E11,40 evolved,24,5,0.23958333333333337,0.28125,3.5611006309465765,0.9995183906764534
e11,3,25,40_E7,40 evolved,37,5,0.375,0.4166666666666667,8.432337806585641,0.9998533801564374
e11,3,35,40_E7,40 evolved,23,5,0.22916666666666663,0.2708333333333333,12.846859730990628,0.9997748849187574
e11,3,38,40_E7,40 evolved,22,5,0.21875,0.2604166666666667,13.686108684267392,0.9999010175056803
e11,3,41,40_E7,40 evolved,31,5,0.3125,0.3541666666666667,8.267066841625931,0.9999382437621851
e11,3,42,40_E7,40 evolved,27,5,0.2708333333333333,0.3125,2.990631050124349,0.9946142057475023
e2,1,25,35_B8,35 evolved,34,5,0.34375,0.3854166666666667,8.437133695577602,0.9998931610597102
e2,1,35,35_B8,35 evolved,21,5,0.20833333333333337,0.25,13.018226841006118,0.9999237175944689
e2,1,38,35_B8,35 evolved,20,5,0.19791666666666663,0.23958333333333337,13.49731014545201,0.9998365609320207
e2,1,41,35_B8,35 evolved,24,5,0.23958333333333337,0.28125,5.2079787853371124,0.99926301428888
e2,1,42,35_B8,35 evolved,21,5,0.20833333333333337,0.25,2.5465451116209494,0.9978452027364557
e2,3,25,40_B6,40 evolved,41,5,0.4166666666666667,0.4583333333333333,8.063490186355788,0.9998664460469433
e2,3,35,40_B6,40 evolved,25,5,0.25,0.2916666666666667,11.826513709199384,0.9999097316522348
e2,3,38,40_B6,40 evolved,22,5,0.21875,0.2604166666666667,12.45622237837713,0.999977763087226
e2,3,41,40_B6,40 evolved,30,5,0.3020833333333333,0.34375,7.979514005940881,0.9999935423492216
e2,3,42,40_B6,40 evolved,26,5,0.2604166666666667,0.3020833333333333,1.784384310062657,0.9935914581376781
e3,1,25,35_F4,35 evolved,36,5,0.3645833333333333,0.40625,8.215345700895218,0.9998710981734702
e3,1,35,35_F4,35 evolved,22,5,0.21875,0.2604166666666667,12.773018749344477,0.9999535061654511
e3,1,38,35_F4,35 evolved,21,5,0.20833333333333337,0.25,13.826147214112149,0.9998833307224811
e3,1,41,35_F4,35 evolved,21,5,0.20833333333333337,0.25,5.103738471128755,0.9993173923160462
e3,1,42,35_F4,35 evolved,17,5,0.16666666666666666,0.20833333333333337,4.2680872339352645,0.9990940007597958
e3,2,25,35_C7,35 evolved,38,5,0.3854166666666667,0.4270833333333333,8.209816591219067,0.9998404287133795
e3,2,35,35_C7,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.088636374870362,0.9999648883104187
e3,2,38,35_C7,35 evolved,22,5,0.21875,0.2604166666666667,13.811078504741616,0.9997617901908082
e3,2,41,35_C7,35 evolved,23,5,0.22916666666666663,0.2708333333333333,5.63676712401623,0.9995376925660772
e3,2,42,35_C7,35 evolved,19,6,0.1875,0.23958333333333337,3.8721150999689953,0.999626806009622
e4,3,25,35_C5,35 evolved,37,5,0.375,0.4166666666666667,8.287048183358058,0.9999787063715023
e4,3,35,35_C5,35 evolved,22,5,0.21875,0.2604166666666667,13.064052331947314,0.9999622983746843
e4,3,38,35_C5,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.695411493859963,0.9998924717838595
e4,3,41,35_C5,35 evolved,22,5,0.21875,0.2604166666666667,4.99467826326638,0.999197205290486
e4,3,42,35_C5,35 evolved,14,5,0.13541666666666666,0.17708333333333334,3.006020996611612,0.9980995063423321
e5,1,25,40_D4,40 evolved,37,5,0.375,0.4166666666666667,8.304676616101743,0.9995704098969755
e5,1,35,40_D4,40 evolved,23,5,0.22916666666666663,0.2708333333333333,12.323001273206007,0.9999714094698301
e5,1,38,40_D4,40 evolved,23,5,0.22916666666666663,0.2708333333333333,14.277761644567192,0.9998690106401331
e5,1,41,40_D4,40 evolved,44,5,0.4479166666666667,0.4895833333333333,6.756397777283677,0.9980984466663547
e5,1,42,40_D4,40 evolved,25,5,0.25,0.2916666666666667,3.2345516660114932,0.9992122581856596
e5,3,25,40_G5,40 evolved,37,5,0.375,0.4166666666666667,7.969047386722674,0.9998320611211863
e5,3,35,40_G5,40 evolved,24,5,0.23958333333333337,0.28125,12.209210590896733,0.9999564236590706
e5,3,38,40_G5,40 evolved,23,5,0.22916666666666663,0.2708333333333333,12.595123996458875,0.9999127442354132
e5,3,41,40_G5,40 evolved,27,5,0.2708333333333333,0.3125,5.468939217684913,0.9999432555714121
e5,3,42,40_G5,40 evolved,23,5,0.22916666666666663,0.2708333333333333,1.8766784870206996,0.9832729717032911
e7,1,25,35_F4,35 evolved,33,5,0.3333333333333333,0.375,8.286051714881541,0.9997059523671787
e7,1,35,35_F4,35 evolved,21,5,0.20833333333333337,0.25,13.106785128648147,0.9997871135955678
e7,1,38,35_F4,35 evolved,21,5,0.20833333333333337,0.25,13.91155519850612,0.9999330709402559
e7,1,41,35_F4,35 evolved,25,5,0.25,0.2916666666666667,5.582471639642004,0.9996458859579881
e7,1,42,35_F4,35 evolved,20,5,0.19791666666666663,0.23958333333333337,4.623492449334073,0.9992710361604373
e8,1,25,35_B8,35 evolved,34,5,0.34375,0.3854166666666667,8.407409713480797,0.9999774929683571
e8,1,35,35_B8,35 evolved,22,5,0.21875,0.2604166666666667,13.131673759201353,0.9999856695833128
e8,1,38,35_B8,35 evolved,21,5,0.20833333333333337,0.25,13.618258253254423,0.9996598079156367
e8,1,41,35_B8,35 evolved,24,5,0.23958333333333337,0.28125,5.568259649163963,0.9986954618713111
e8,1,42,35_B8,35 evolved,22,6,0.21875,0.2708333333333333,3.935976246248702,0.9997967587693327
e8,2,25,35_C7,35 evolved,37,5,0.375,0.4166666666666667,8.310256895542148,0.9999229970806984
e8,2,35,35_C7,35 evolved,23,5,0.22916666666666663,0.2708333333333333,12.835477242835607,0.9999838821630083
e8,2,38,35_C7,35 evolved,22,5,0.21875,0.2604166666666667,13.868428207611485,0.9998591624178029
e8,2,41,35_C7,35 evolved,23,5,0.22916666666666663,0.2708333333333333,6.023658893517664,0.9999204752521189
e8,2,42,35_C7,35 evolved,20,6,0.19791666666666663,0.25,3.4425009312296515,0.9986285478303641
e9,1,25,40_D2,40 evolved,40,5,0.40625,0.4479166666666667,8.194598904490496,0.9997438467079792
e9,1,35,40_D2,40 evolved,25,5,0.25,0.2916666666666667,11.513400942371604,0.9999645458017445
e9,1,38,40_D2,40 evolved,23,5,0.22916666666666663,0.2708333333333333,12.608810037659111,0.9999347739450111
e9,1,41,40_D2,40 evolved,49,5,0.5,0.5416666666666666,6.07600378216388,0.9965862687667018
e9,1,42,40_D2,40 evolved,27,5,0.2708333333333333,0.3125,5.3575536827187396,0.9999467598370025
e9,2,25,35_B2,35 evolved,37,5,0.375,0.4166666666666667,8.172161979149127,0.9997590454522393
e9,2,35,35_B2,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.130554668054817,0.999939733826189
e9,2,38,35_B2,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.706941085764232,0.9998750457359192
