well,mu,best_model,se,R2,n_obs,strain,test_temperature,block,evolution_history
g8,10.306003989243056,gr.lagsat,0.15785411547693942,0.9964988638639278,45,35_E9,35,2,35 evolved
b11,6.903266091131051,gr.lagsat,0.058990206453039415,0.9985267258781348,57,35_D8,41,2,35 evolved
b2,4.194238175608221,gr.lagsat,0.0530121345750954,0.994209068229146,76,35_E9,41,2,35 evolved
b3,6.660298129999772,gr.lagsat,0.06082905974617353,0.9982048282491947,59,40_E9,41,2,40 evolved
b4,7.260915971569333,gr.lagsat,0.06749435866233064,0.998281503936741,56,40_G11,41,2,40 evolved
b5,6.528030209557101,gr.lagsat,0.05410278518809683,0.998490192899693,59,40_E11,41,2,40 evolved
b8,5.200750768392288,gr.sat,0.06542153681488991,0.9934104004137456,67,35_B2,41,2,35 evolved
b9,6.275145392159148,gr.lagsat,0.05564663692098906,0.9980899087309775,60,fRS585,41,2,fRS585
c11,6.376030369616034,gr.lagsat,0.05497518063713128,0.9983026493877903,60,35_C7,41,2,35 evolved
c2,6.546752156402341,gr.lagsat,0.06126088241139476,0.9981229039869204,59,40_B2,41,2,40 evolved
c3,8.035739583023796,gr.lagsat,0.0867277178703416,0.9980662350493545,51,40_G11,41,2,40 evolved
c4,6.55314251089866,gr.lagsat,0.05830902058878697,0.9982399796989049,59,40_E11,41,2,40 evolved
c5,5.307027926318262,gr.sat,0.07585524649499331,0.9913014189306507,67,40_E9,41,2,40 evolved
c9,5.0875339612000685,gr.sat,0.06143809950048754,0.9938415990273197,66,fRS585,41,2,fRS585
d10,4.280257298211275,gr.sat,0.04992186278706959,0.9936539041217216,75,35_E9,41,2,35 evolved
d11,7.05342391617428,gr.lagsat,0.06626307673344627,0.9982962185822614,57,40_B2,41,2,40 evolved
d2,6.481385528247586,gr.lagsat,0.06526699133330444,0.9976595854636701,59,40_C9,41,2,40 evolved
d3,4.089687408790564,gr.lagsat,0.07837359404776202,0.9875815623950762,72,35_D8,41,2,35 evolved
d4,3.5341500319920676,gr.sat,0.07247326546711803,0.9806424458769076,73,35_D8,41,2,35 evolved
d5,5.748799689142649,gr.lagsat,0.04451851720138409,0.9985113809691736,65,40_E9,41,2,40 evolved
d6,3.5588630261983183,gr.sat,0.07136175953635968,0.9795919247460215,79,35_G9,41,2,35 evolved
d8,6.8549260263254395,gr.lagsat,0.06448183137499315,0.9982040550139961,57,40_C9,41,2,40 evolved
d9,6.966134151006833,gr.lagsat,0.06372599702751293,0.9982504939421377,56,40_C9,41,2,40 evolved
e10,4.721334509812192,gr.sat,0.0577330598404549,0.9933915423446962,69,fRS585,41,2,fRS585
e11,7.4000776268540545,gr.lagsat,0.09017935087699998,0.9970885025907072,54,40_E11,41,2,40 evolved
e3,3.5259633886711574,gr.sat,0.09286622608851039,0.9706874889265513,68,35_C7,41,2,35 evolved
e8,3.809636499196717,gr.sat,0.06376825080268961,0.9863109016385859,78,35_C7,41,2,35 evolved
e9,3.695240601716736,gr.sat,0.05549543099830555,0.9882992334228013,80,35_B2,41,2,35 evolved
f11,4.86753624577727,gr.lagsat,0.04778632105601504,0.9970268505061575,70,35_B2,41,2,35 evolved
f2,3.7198187196822663,gr.lagsat,0.11169512833554406,0.9756934826270415,59,35_F6,41,2,35 evolved
f3,6.7203367102699625,gr.lagsat,0.06879637747801161,0.9978037413714927,58,40_F4,41,2,40 evolved
f4,6.481877584738964,gr.lagsat,0.05945752758020772,0.9980441781639686,60,40_G11,41,2,40 evolved
f5,5.319747677085499,gr.sat,0.07802060131280604,0.9910416254884281,67,40_B2,41,2,40 evolved
f7,6.109269203086422,gr.sat,0.09728485175831374,0.9902407388417045,61,40_F4,41,2,40 evolved
f8,3.400070030711112,gr.sat,0.0676238191597724,0.9792527599671931,81,35_G9,41,2,35 evolved
f9,3.962357217091006,gr.lagsat,0.06544361860212361,0.989192036210176,77,35_F6,41,2,35 evolved
g3,3.39527080670526,gr.sat,0.10278829343860725,0.9641207404353925,63,35_G9,41,2,35 evolved
g5,6.71965728887681,gr.lagsat,0.06415670552503351,0.9981091012106773,58,40_F4,41,2,40 evolved
g6,3.1709351838912236,gr.sat,0.08827986948901097,0.9649013374376608,73,35_F6,41,2,35 evolved
g8,2.9767757136360085,gr.sat,0.0704391353637866,0.9703529098887688,84,35_E9,41,2,35 evolved
b11,2.5389765519193244,gr.sat,0.07115683269746478,0.9750141362153011,46,35_D8,42,2,35 evolved
b2,2.289326471141757,gr.lagsat,0.1081207802626027,0.9599648746005347,43,35_E9,42,2,35 evolved
b3,2.445522492142642,gr.sat,0.038146091022747616,0.9901613033979767,63,40_E9,42,2,40 evolved
b4,3.192721566342691,gr.lagsat,0.045860800730110715,0.9908695196021415,84,40_G11,42,2,40 evolved
b5,2.78929457737949,gr.lagsat,0.037587479830439204,0.9963426929657266,50,40_E11,42,2,40 evolved
b8,2.238183535689937,gr.lagsat,0.09072075561729477,0.9722978722157858,44,35_B2,42,2,35 evolved
b9,2.655268550204824,gr.lagsat,0.10427635168192399,0.9717623761626347,43,fRS585,42,2,fRS585
c11,3.747174840829322,gr.sat,0.09154018153546821,0.9811813525034467,45,35_C7,42,2,35 evolved
c2,4.533599144069038,gr.lagsat,0.033819806429221645,0.9983807650188751,74,40_B2,42,2,40 evolved
c3,6.499972016317047,gr.lagsat,0.0673407169405422,0.9978908954768032,59,40_G11,42,2,40 evolved
c4,2.952213780185663,gr.sat,0.06052013448644558,0.9826112084558513,65,40_E11,42,2,40 evolved
c5,2.175968868173681,gr.sat,0.03043561703889242,0.992653222544249,56,40_E9,42,2,40 evolved
c9,2.272669293124375,gr.lagsat,0.1020836050442764,0.9673037510877486,43,fRS585,42,2,fRS585
d10,1.7995466386863486,gr.sat,0.06464769994510534,0.9593645167204173,44,35_E9,42,2,35 evolved
d11,3.7361582031616685,gr.lagsat,0.027048652610345482,0.9979258839152723,85,40_B2,42,2,40 evolved
d2,2.918793012187173,gr.sat,0.050041598193842705,0.9887007877734871,59,40_C9,42,2,40 evolved
d3,2.6296052518757524,gr.lagsat,0.10798843239445992,0.9728920259831988,44,35_D8,42,2,35 evolved
d4,2.4641016690233006,gr.lagsat,0.10178829410661634,0.9716800886542827,43,35_D8,42,2,35 evolved
d5,2.222814641899028,gr.lagsat,0.03295799616547297,0.9953564957673116,54,40_E9,42,2,40 evolved
d6,1.6738240603966674,gr.sat,0.05954801035895308,0.9616016538591488,44,35_G9,42,2,35 evolved
d8,2.475652023042573,gr.lagsat,0.025872457235909207,0.9974493721345138,53,40_C9,42,2,40 evolved
d9,2.6555869499761258,gr.lagsat,0.033244534750887046,0.9962633444791436,54,40_C9,42,2,40 evolved
e10,1.817488611472223,gr.sat,0.06259562522627478,0.9647662992021562,44,fRS585,42,2,fRS585
e11,2.871241768685634,gr.lagsat,0.03467152549243162,0.9971112203010268,51,40_E11,42,2,40 evolved
e3,3.3187551631415872,gr.lagsat,0.12409686112762865,0.9760758588085044,43,35_C7,42,2,35 evolved
e8,3.0114891449326326,gr.lagsat,0.10460215181943494,0.9750919989398623,42,35_C7,42,2,35 evolved
e9,1.885017290406399,gr.lagsat,0.08542590395832618,0.9632308571102638,43,35_B2,42,2,35 evolved
f11,2.029729412130765,gr.lagsat,0.08054736768763451,0.9707431774640299,44,35_B2,42,2,35 evolved
f2,1.6550901602586845,gr.lagsat,0.07954011282163491,0.9574714238216966,44,35_F6,42,2,35 evolved
f3,4.7913514845606615,gr.lagsat,0.05647866783108454,0.99645154520854,69,40_F4,42,2,40 evolved
f4,2.4016221422329833,gr.sat,0.03921476248478021,0.9836059799344312,91,40_G11,42,2,40 evolved
f5,2.5540393938739614,gr.lagsat,0.03217865858160913,0.9925416578574022,87,40_B2,42,2,40 evolved
f7,2.6493769355863077,gr.sat,0.03626902775814169,0.9924397501373066,63,40_F4,42,2,40 evolved
f8,1.6628021412497798,gr.lagsat,0.07525358879899713,0.9637669430142481,43,35_G9,42,2,35 evolved
