strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50
35_C9,35 evolved,41.039449478777044,0.06577425315917969,fluconazole,17.352742359365525,0.09504384347627459,2.853750554961067
35_F4,35 evolved,40.501630724146935,0.16775457843106026,amphotericin,0.14984161739156676,0.06632362702561267,-1.8981764267803827
35_F4,35 evolved,40.501630724146935,0.16775457843106026,caspofungin,0.015247640747215624,0.05463939867271961,-4.1833304929974
35_F4,35 evolved,40.501630724146935,0.16775457843106026,fluconazole,21.207508224934305,0.11999966012717149,3.0543552805310723
35_D4,35 evolved,40.7489348927549,0.12317487777665255,amphotericin,0.14430463032984497,0.07473023890601556,-1.935828725499214
35_D4,35 evolved,40.7489348927549,0.12317487777665255,caspofungin,0.03548328052167359,0.10069056254262727,-3.338693664663009
35_D4,35 evolved,40.7489348927549,0.12317487777665255,fluconazole,1.9346503076471693,0.04119161858663729,0.659926590587811
40_D8,40 evolved,41.262774120269285,0.029813192013269606,fluconazole,24.905850817212862,0.07155640952524724,3.215102748447759
40_D8,40 evolved,41.262774120269285,0.029813192013269606,caspofungin,0.01869915557035187,0.07993451272098492,-3.9792769128068644
40_D8,40 evolved,41.262774120269285,0.029813192013269606,amphotericin,0.9748456847927398,0.035663744049586346,-0.025476092518072126
40_F2,40 evolved,41.578182282699686,0.09418533426075394,fluconazole,31.62156046744566,0.0531171888646549,3.453839181210228
40_F2,40 evolved,41.578182282699686,0.09418533426075394,caspofungin,0.022573533004114667,0.06911079787587233,-3.7909771649970256
40_F2,40 evolved,41.578182282699686,0.09418533426075394,amphotericin,1.1529603503972994,0.03689571724406438,0.14233285248860833
35_F2,35 evolved,41.139103442012015,0.035474900505474874,amphotericin,0.1503165503220227,0.060303823112476736,-1.8950118730357952
