rep.id,well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
e9_2_42_35_B2_35 evolved,e9,2,42,35,B2,1.7240198926032144,gr.sat,0.06309491083723891,0.959495580646157,44
f11_2_42_35_B2_35 evolved,f11,2,42,35,B2,2.0297293700532952,gr.lagsat,0.08054736617796328,0.9707431774640299,44
f2_2_42_35_F6_35 evolved,f2,2,42,35,F6,1.6550901152245543,gr.lagsat,0.07954011215475526,0.9574714238216963,44
f3_2_42_40_F4_40 evolved,f3,2,42,40,F4,4.142932875277602,gr.sat,0.06774064336578284,0.987018934459484,78
f4_2_42_40_G11_40 evolved,f4,2,42,40,G11,2.4016221412208276,gr.sat,0.0392147626534527,0.9836059799344312,91
f5_2_42_40_B2_40 evolved,f5,2,42,40,B2,2.554039405440839,gr.lagsat,0.03217865896920886,0.9925416578574022,87
f7_2_42_40_F4_40 evolved,f7,2,42,40,F4,2.6493769357393657,gr.sat,0.03626902789197382,0.9924397501373066,63
f8_2_42_35_G9_35 evolved,f8,2,42,35,G9,1.6628021757865374,gr.lagsat,0.07525358463783749,0.9637669430142479,43
f9_2_42_35_F6_35 evolved,f9,2,42,35,F6,1.4905724012377286,gr.sat,0.05096362896293649,0.9637268641407456,45
g3_2_42_35_G9_35 evolved,g3,2,42,35,G9,1.6833591346979655,gr.lagsat,0.07730427995897159,0.964356276832904,44
g5_2_42_40_F4_40 evolved,g5,2,42,40,F4,2.589677168300425,gr.sat,0.035930305218018134,0.9921834118662061,65
g6_2_42_35_F6_35 evolved,g6,2,42,35,F6,1.5340632912057885,gr.lagsat,0.06861886387126365,0.9585894787487472,43
g8_2_42_35_E9_35 evolved,g8,2,42,35,E9,1.5422303377933704,gr.sat,0.05693454436017857,0.9589637616993159,44
b10_3_25_40_F6_40 evolved,b10,3,25,40,F6,6.716287464259409,gr.lagsat,0.1070569281817682,0.9949122427360667,59
b11_3_25_40_G5_40 evolved,b11,3,25,40,G5,6.483378048140374,gr.lagsat,0.09720737628982287,0.9956600182966174,62
b2_3_25_40_B6_40 evolved,b2,3,25,40,B6,6.405214346610236,gr.lagsat,0.09608872502690868,0.9956484273846862,61
b3_3_25_fRS585_fRS585,b3,3,25,fRS585,fRS585,6.762449353342069,gr.lagsat,0.10960213779942475,0.9946520801385159,59
b4_3_25_35_E11_35 evolved,b4,3,25,35,E11,6.698140537089163,gr.lagsat,0.10697232803243241,0.9949132496587851,60
b5_3_25_35_D2_35 evolved,b5,3,25,35,D2,6.795055447253631,gr.lagsat,0.11006653959276738,0.994733085249573,60
b7_3_25_fRS585_fRS585,b7,3,25,fRS585,fRS585,6.895500902509422,gr.lagsat,0.11635278319299458,0.994755800715028,59
b8_3_25_35_E11_35 evolved,b8,3,25,35,E11,5.337782371286526,gr.sat,0.11753345568317472,0.9787511824856381,72
b9_3_25_40_C5_40 evolved,b9,3,25,40,C5,6.387546688666472,gr.lagsat,0.09438220409703013,0.9954706291607819,62
c2_3_25_35_E11_35 evolved,c2,3,25,35,E11,6.656210284218456,gr.lagsat,0.10669518729478636,0.9949451158748702,60
c3_3_25_40_E7_40 evolved,c3,3,25,40,E7,6.670133931983403,gr.lagsat,0.10530517523502092,0.9950764451154489,60
c4_3_25_35_C9_35 evolved,c4,3,25,35,C9,5.19259873438854,gr.sat,0.1181919086243145,0.9768983216555196,73
c5_3_25_35_D2_35 evolved,c5,3,25,35,D2,6.720228531955755,gr.lagsat,0.10783971181678802,0.9948286070119035,59
c7_3_25_40_D8_40 evolved,c7,3,25,40,D8,5.107381122305058,gr.sat,0.11450748191180286,0.9761283236521229,75
c8_3_25_35_F2_35 evolved,c8,3,25,35,F2,6.63939450083672,gr.lagsat,0.1054783836485005,0.9947088113034865,60
c9_3_25_fRS585_fRS585,c9,3,25,fRS585,fRS585,6.735381383060784,gr.lagsat,0.10875301987104434,0.994699453577742,59
d10_3_25_35_C5_35 evolved,d10,3,25,35,C5,6.6296861281325565,gr.lagsat,0.10689671364282594,0.9949672894621531,60
