well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
b8,2,35,35_B2,35 evolved,10.29809895719602,lagsat,0.16377757305797555,0.996278446655587,45
b11,2,35,35_D8,35 evolved,10.340426387330998,lagsat,0.16313981295827498,0.9962958781010226,44
c2,2,35,40_B2,40 evolved,9.749495211779168,lagsat,0.1344300514687555,0.9967997880750331,46
c3,2,35,40_G11,40 evolved,NA,lagsat,NA,NA,NA
c4,2,35,40_E11,40 evolved,NA,lagsat,NA,NA,NA
c5,2,35,40_E9,40 evolved,9.083460623192032,lagsat,0.1276744457716083,0.9967170501471418,48
c11,2,35,35_C7,35 evolved,NA,lagsat,NA,NA,NA
d2,2,35,40_C9,40 evolved,NA,lagsat,NA,NA,NA
d3,2,35,35_D8,35 evolved,NA,lagsat,NA,NA,NA
d4,2,35,35_D8,35 evolved,10.090905444523443,lagsat,0.16026855366509377,0.9963902234476639,44
d5,2,35,40_E9,40 evolved,9.203374242960443,lagsat,0.13423552062819788,0.99667616519771,48
d6,2,35,35_G9,35 evolved,NA,lagsat,NA,NA,NA
d8,2,35,40_C9,40 evolved,NA,lagsat,NA,NA,NA
d9,2,35,40_C9,40 evolved,NA,lagsat,NA,NA,NA
d10,2,35,35_E9,35 evolved,10.287124135880196,lagsat,0.15939101042903145,0.9964260894967286,45
d11,2,35,40_B2,40 evolved,10.0518150118089,lagsat,0.14074900382212024,0.9968713515305788,45
e3,2,35,35_C7,35 evolved,NA,lagsat,NA,NA,NA
e8,2,35,35_C7,35 evolved,10.074886898082232,lagsat,0.1493608869175059,0.9965312351521072,45
e9,2,35,35_B2,35 evolved,NA,lagsat,NA,NA,NA
e11,2,35,40_E11,40 evolved,10.37213564780499,lagsat,0.14968703614969245,0.9969480212644484,45
f2,2,35,35_F6,35 evolved,10.336959938068038,lagsat,0.15991322566539054,0.9964613775990933,44
f3,2,35,40_F4,40 evolved,9.280393168144982,lagsat,0.13348735842420897,0.9966133407540702,48
f4,2,35,40_G11,40 evolved,NA,lagsat,NA,NA,NA
f5,2,35,40_B2,40 evolved,NA,lagsat,NA,NA,NA
f7,2,35,40_F4,40 evolved,9.22462909096255,lagsat,0.12903249296435,0.9965075882164104,48
f8,2,35,35_G9,35 evolved,10.784532229618407,lagsat,0.17709614172592425,0.9962035846432973,43
f9,2,35,35_F6,35 evolved,NA,lagsat,NA,NA,NA
f11,2,35,35_B2,35 evolved,NA,lagsat,NA,NA,NA
g3,2,35,35_G9,35 evolved,NA,lagsat,NA,NA,NA
g5,2,35,40_F4,40 evolved,9.67221672930476,lagsat,0.13344298890950154,0.9969418501868748,46
g6,2,35,35_F6,35 evolved,NA,lagsat,NA,NA,NA
g8,2,35,35_E9,35 evolved,7.954566581009684,lagsat,0.18868410147065517,0.9817841166078581,50
b2,2,25,35_E9,35 evolved,3.746248103726005,lagsat,0.13043127890551384,0.907387447515848,97
b3,2,25,40_E9,40 evolved,6.393303750814247,lagsat,0.09493993078827447,0.9953796414612838,61
b4,2,25,40_G11,40 evolved,6.469172507817965,lagsat,0.09795107243511528,0.9952248483972534,60
b5,2,25,40_E11,40 evolved,3.759500119426067,lagsat,0.12879645370063728,0.9103305194324482,97
b8,2,25,35_B2,35 evolved,6.504901897221802,lagsat,0.10745961244145859,0.9947716601881823,60
b11,2,25,35_D8,35 evolved,6.5729899679115125,lagsat,0.1048883879201173,0.9950550363328677,60
c2,2,25,40_B2,40 evolved,5.9187791870478765,lagsat,0.08282840933181722,0.9956472005074212,63
c3,2,25,40_G11,40 evolved,6.401336592889754,lagsat,0.09778767019774867,0.9951715528104698,61
c4,2,25,40_E11,40 evolved,3.767170142717296,lagsat,0.13044046987589927,0.9080446418139543,97
c5,2,25,40_E9,40 evolved,6.3679743038725825,lagsat,0.09985523243635701,0.9952173063691624,60
c11,2,25,35_C7,35 evolved,6.667790645257781,lagsat,0.10653023223504642,0.9949353888997938,59
d2,2,25,40_C9,40 evolved,6.53675606778662,lagsat,0.10492619462065036,0.9948436980108591,60
d3,2,25,35_D8,35 evolved,6.545464464453492,lagsat,0.10168333013955226,0.9950327339811833,60
d4,2,25,35_D8,35 evolved,6.490018420712173,lagsat,0.10295956326580057,0.9948670378617854,60
d5,2,25,40_E9,40 evolved,6.304580949315091,lagsat,0.09860308463023335,0.9951977864357058,61
d6,2,25,35_G9,35 evolved,6.718283991327215,lagsat,0.11074565161349131,0.9947365739428372,59
