population,sheet_name,concentration,OD,drug
40_D2,Plate2_Rep3,64,0.08250000327825546,fluconazole
40_D4,Plate2_Rep3,64,0.15360000729560852,fluconazole
40_D8,Plate2_Rep3,64,0.1103999987244606,fluconazole
40_E7,Plate2_Rep3,64,0.2791000008583069,fluconazole
40_E9,Plate2_Rep3,64,0.0997999981045723,fluconazole
40_E11,Plate2_Rep3,64,0.29019999504089355,fluconazole
fRS585,Plate2_Rep3,64,0.16459999978542328,fluconazole
Blank,Plate2_Rep3,64,0.057999998331069946,fluconazole
40_D2,Plate2_Rep2,64,0.09740000218153,fluconazole
40_D4,Plate2_Rep2,64,0.13590000569820404,fluconazole
40_D8,Plate2_Rep2,64,0.14630000293254852,fluconazole
40_E7,Plate2_Rep2,64,0.23749999701976776,fluconazole
40_E9,Plate2_Rep2,64,0.0949999988079071,fluconazole
40_E11,Plate2_Rep2,64,0.23810000717639923,fluconazole
fRS585,Plate2_Rep2,64,0.19349999725818634,fluconazole
Blank,Plate2_Rep2,64,0.0568000003695488,fluconazole
40_D2,Plate2_Rep1,64,0.09950000047683716,fluconazole
40_D4,Plate2_Rep1,64,0.10930000245571136,fluconazole
40_D8,Plate2_Rep1,64,0.10909999907016754,fluconazole
40_E7,Plate2_Rep1,64,0.2655999958515167,fluconazole
40_E9,Plate2_Rep1,64,0.0892999991774559,fluconazole
40_E11,Plate2_Rep1,64,0.40310001373291016,fluconazole
fRS585,Plate2_Rep1,64,0.21729999780654907,fluconazole
Blank,Plate2_Rep1,64,0.05719999969005585,fluconazole
40_B2,Plate1_Rep3,64,0.10090000182390213,fluconazole
40_B6,Plate1_Rep3,64,0.08969999849796295,fluconazole
40_B8,Plate1_Rep3,64,0.17260000109672546,fluconazole
40_C5,Plate1_Rep3,64,0.11150000244379044,fluconazole
40_C7,Plate1_Rep3,64,0.10610000044107437,fluconazole
40_C9,Plate1_Rep3,64,0.325300008058548,fluconazole
fRS585,Plate1_Rep3,64,0.21729999780654907,fluconazole
Blank,Plate1_Rep3,64,0.05719999969005585,fluconazole
40_B2,Plate1_Rep2,64,0.1216999962925911,fluconazole
40_B6,Plate1_Rep2,64,0.11699999868869781,fluconazole
40_B8,Plate1_Rep2,64,0.163100004196167,fluconazole
40_C5,Plate1_Rep2,64,0.09679999947547913,fluconazole
40_C7,Plate1_Rep2,64,0.11810000240802765,fluconazole
40_C9,Plate1_Rep2,64,0.2766000032424927,fluconazole
fRS585,Plate1_Rep2,64,0.21879999339580536,fluconazole
Blank,Plate1_Rep2,64,0.05649999901652336,fluconazole
40_B2,Plate1_Rep1,64,0.13189999759197235,fluconazole
40_B6,Plate1_Rep1,64,0.08940000087022781,fluconazole
40_B8,Plate1_Rep1,64,0.16619999706745148,fluconazole
40_C5,Plate1_Rep1,64,0.11299999803304672,fluconazole
40_C7,Plate1_Rep1,64,0.1143999993801117,fluconazole
40_C9,Plate1_Rep1,64,0.5943999886512756,fluconazole
fRS585,Plate1_Rep1,64,0.2290000021457672,fluconazole
Blank,Plate1_Rep1,64,0.05620000138878822,fluconazole
40_F2,Plate3_Rep3,32,0.21040000021457672,fluconazole
40_F4,Plate3_Rep3,32,0.2240999937057495,fluconazole
40_F6,Plate3_Rep3,32,0.37459999322891235,fluconazole
40_G5,Plate3_Rep3,32,0.6628999710083008,fluconazole
40_G9,Plate3_Rep3,32,0.5496000051498413,fluconazole
40_G11,Plate3_Rep3,32,0.5753999948501587,fluconazole
fRS585,Plate3_Rep3,32,0.28060001134872437,fluconazole
Blank,Plate3_Rep3,32,0.0575999990105629,fluconazole
40_F2,Plate3_Rep2,32,0.27950000762939453,fluconazole
40_F4,Plate3_Rep2,32,0.30309998989105225,fluconazole
40_F6,Plate3_Rep2,32,0.42320001125335693,fluconazole
40_G5,Plate3_Rep2,32,0.6769000291824341,fluconazole
40_G9,Plate3_Rep2,32,0.5555999875068665,fluconazole
40_G11,Plate3_Rep2,32,0.62779998779296875,fluconazole
fRS585,Plate3_Rep2,32,0.3646000027656555,fluconazole
Blank,Plate3_Rep2,32,0.05719999969005585,fluconazole
40_F2,Plate3_Rep1,32,0.7689999938011169,fluconazole
40_F4,Plate3_Rep1,32,0.39879998564720154,fluconazole
40_F6,Plate3_Rep1,32,0.28200000524520874,fluconazole
40_G5,Plate3_Rep1,32,0.4496999979019165,fluconazole
40_G9,Plate3_Rep1,32,0.6365000009536743,fluconazole
40_G11,Plate3_Rep1,32,0.597000002861023,fluconazole
fRS585,Plate3_Rep1,32,0.4108999967575073,fluconazole
Blank,Plate3_Rep1,32,0.0575999990105629,fluconazole
40_D2,Plate2_Rep3,32,0.1826000064611435,fluconazole
40_D4,Plate2_Rep3,32,0.23409999907016754,fluconazole
40_D8,Plate2_Rep3,32,0.34599998593330383,fluconazole
40_E7,Plate2_Rep3,32,0.44839999079704285,fluconazole
40_E9,Plate2_Rep3,32,0.23109999299049377,fluconazole
40_E11,Plate2_Rep3,32,0.670199990272522,fluconazole
fRS585,Plate2_Rep3,32,0.2856999933719635,fluconazole
Blank,Plate2_Rep3,32,0.058400001376867294,fluconazole
40_D2,Plate2_Rep2,32,0.40709999203681946,fluconazole
40_D4,Plate2_Rep2,32,0.22550000250339508,fluconazole
