population,sheet_name,concentration,OD
40_B6,Plate1_Rep3,64,0.08969999849796295
40_B8,Plate1_Rep3,64,0.17260000109672546
40_C5,Plate1_Rep3,64,0.11150000244379044
40_C7,Plate1_Rep3,64,0.10610000044107437
40_C9,Plate1_Rep3,64,0.325300008058548
fRS585,Plate1_Rep3,64,0.21729999780654907
Blank,Plate1_Rep3,64,0.05719999969005585
40_B2,Plate1_Rep2,64,0.1216999962925911
40_B6,Plate1_Rep2,64,0.11699999868869781
40_B8,Plate1_Rep2,64,0.163100004196167
40_C5,Plate1_Rep2,64,0.09679999947547913
40_C7,Plate1_Rep2,64,0.11810000240802765
40_C9,Plate1_Rep2,64,0.2766000032424927
fRS585,Plate1_Rep2,64,0.21879999339580536
Blank,Plate1_Rep2,64,0.05649999901652336
40_B2,Plate1_Rep1,64,0.13189999759197235
40_B6,Plate1_Rep1,64,0.08940000087022781
40_B8,Plate1_Rep1,64,0.16619999706745148
40_C5,Plate1_Rep1,64,0.11299999803304672
40_C7,Plate1_Rep1,64,0.1143999993801117
40_C9,Plate1_Rep1,64,0.5943999886512756
fRS585,Plate1_Rep1,64,0.2290000021457672
Blank,Plate1_Rep1,64,0.05620000138878822
40_F2,Plate3_Rep3,32,0.21040000021457672
40_F4,Plate3_Rep3,32,0.2240999937057495
40_F6,Plate3_Rep3,32,0.37459999322891235
40_G5,Plate3_Rep3,32,0.6628999710083008
40_G9,Plate3_Rep3,32,0.5496000051498413
40_G11,Plate3_Rep3,32,0.5753999948501587
fRS585,Plate3_Rep3,32,0.28060001134872437
Blank,Plate3_Rep3,32,0.0575999990105629
40_F2,Plate3_Rep2,32,0.27950000762939453
40_F4,Plate3_Rep2,32,0.30309998989105225
40_F6,Plate3_Rep2,32,0.42320001125335693
40_G5,Plate3_Rep2,32,0.6769000291824341
40_G9,Plate3_Rep2,32,0.5555999875068665
40_G11,Plate3_Rep2,32,0.62779998779296875
fRS585,Plate3_Rep2,32,0.3646000027656555
Blank,Plate3_Rep2,32,0.05719999969005585
40_F2,Plate3_Rep1,32,0.7689999938011169
40_F4,Plate3_Rep1,32,0.39879998564720154
40_F6,Plate3_Rep1,32,0.28200000524520874
40_G5,Plate3_Rep1,32,0.4496999979019165
40_G9,Plate3_Rep1,32,0.6365000009536743
40_G11,Plate3_Rep1,32,0.597000002861023
fRS585,Plate3_Rep1,32,0.4108999967575073
Blank,Plate3_Rep1,32,0.0575999990105629
40_D2,Plate2_Rep3,32,0.1826000064611435
40_D4,Plate2_Rep3,32,0.23409999907016754
40_D8,Plate2_Rep3,32,0.34599998593330383
40_E7,Plate2_Rep3,32,0.44839999079704285
40_E9,Plate2_Rep3,32,0.23109999299049377
40_E11,Plate2_Rep3,32,0.670199990272522
fRS585,Plate2_Rep3,32,0.2856999933719635
Blank,Plate2_Rep3,32,0.058400001376867294
40_D2,Plate2_Rep2,32,0.40709999203681946
40_D4,Plate2_Rep2,32,0.22550000250339508
40_D8,Plate2_Rep2,32,0.3357999920845032
40_E7,Plate2_Rep2,32,0.48089998960494995
40_E9,Plate2_Rep2,32,0.2892000079154968
40_E11,Plate2_Rep2,32,0.38909998536109924
fRS585,Plate2_Rep2,32,0.430400013923645
Blank,Plate2_Rep2,32,0.057100001722574234
40_D2,Plate2_Rep1,32,0.37070000171661377
40_D4,Plate2_Rep1,32,0.1956000030040741
40_D8,Plate2_Rep1,32,0.2531000077724457
40_E7,Plate2_Rep1,32,0.730400025844574
40_E9,Plate2_Rep1,32,0.1607999950647354
40_E11,Plate2_Rep1,32,0.9214000105857849
fRS585,Plate2_Rep1,32,0.45739999413490295
Blank,Plate2_Rep1,32,0.05779999867081642
40_B2,Plate1_Rep3,32,0.195700004696846
40_B6,Plate1_Rep3,32,0.20890000462532043
40_B8,Plate1_Rep3,32,0.2930999994277954
40_C5,Plate1_Rep3,32,0.3504999876022339
40_C7,Plate1_Rep3,32,0.28619998693466187
40_C9,Plate1_Rep3,32,0.807699978351593
fRS585,Plate1_Rep3,32,0.3986999988555908
Blank,Plate1_Rep3,32,0.05730000138282776
40_B2,Plate1_Rep2,32,0.2535000145435333
40_B6,Plate1_Rep2,32,0.18850000202655792
40_B8,Plate1_Rep2,32,0.3463999927043915
40_C5,Plate1_Rep2,32,0.3799000084400177
40_C7,Plate1_Rep2,32,0.21529999375343323
40_C9,Plate1_Rep2,32,0.5526000261306763
fRS585,Plate1_Rep2,32,0.413100004196167
Blank,Plate1_Rep2,32,0.05689999833703041
40_B2,Plate1_Rep1,32,0.25049999356269836
40_B6,Plate1_Rep1,32,0.4361000061035156
40_B8,Plate1_Rep1,32,0.29440000653266907
40_C5,Plate1_Rep1,32,0.2329999953508377
40_C7,Plate1_Rep1,32,0.18199999630451202
40_C9,Plate1_Rep1,32,0.7504000067710876
fRS585,Plate1_Rep1,32,0.4106999933719635
Blank,Plate1_Rep1,32,0.056699998676776886
40_F2,Plate3_Rep3,16,0.920799970626831
40_F4,Plate3_Rep3,16,0.5511000156402588
40_F6,Plate3_Rep3,16,0.8273000121116638
40_G5,Plate3_Rep3,16,1.0434999465942383
40_G9,Plate3_Rep3,16,1.0140999555587769
40_G11,Plate3_Rep3,16,0.6625999808311462
fRS585,Plate3_Rep3,16,0.3720000088214874
Blank,Plate3_Rep3,16,0.05730000138282776
40_F2,Plate3_Rep2,16,0.9930999875068665
40_F4,Plate3_Rep2,16,0.6194999814033508
40_F6,Plate3_Rep2,16,0.704800009727478
40_G5,Plate3_Rep2,16,1.0490000247955322
40_G9,Plate3_Rep2,16,0.996999979019165
40_G11,Plate3_Rep2,16,0.7612000107765198
fRS585,Plate3_Rep2,16,0.6690999865531921
Blank,Plate3_Rep2,16,0.057500001043081284
40_F2,Plate3_Rep1,16,1.009600043296814
40_F4,Plate3_Rep1,16,1.0967999696731567
40_F6,Plate3_Rep1,16,0.6934000253677368
40_G5,Plate3_Rep1,16,1.059000015258789
40_G9,Plate3_Rep1,16,1.0216000080108643
40_G11,Plate3_Rep1,16,0.8884999752044678
fRS585,Plate3_Rep1,16,0.8540999889373779
Blank,Plate3_Rep1,16,0.05719999969005585
40_D2,Plate2_Rep3,16,0.6614999771118164
40_D4,Plate2_Rep3,16,0.8357999920845032
40_D8,Plate2_Rep3,16,0.8805000185966492
40_E7,Plate2_Rep3,16,0.9320999979972839
40_E9,Plate2_Rep3,16,0.890999972820282
40_E11,Plate2_Rep3,16,1.028499960899353
fRS585,Plate2_Rep3,16,0.40540000796318054
Blank,Plate2_Rep3,16,0.05820000171661377
40_D2,Plate2_Rep2,16,0.7534999847412109
40_D4,Plate2_Rep2,16,0.7182000279426575
40_D8,Plate2_Rep2,16,0.9480000138282776
40_E7,Plate2_Rep2,16,0.8508999943733215
40_E9,Plate2_Rep2,16,0.7480999827384949
40_E11,Plate2_Rep2,16,0.675000011920929
fRS585,Plate2_Rep2,16,0.7232999801635742
Blank,Plate2_Rep2,16,0.05689999833703041
40_D2,Plate2_Rep1,16,0.8579000234603882
40_D4,Plate2_Rep1,16,0.8288999795913696
40_D8,Plate2_Rep1,16,0.6725000143051147
40_E7,Plate2_Rep1,16,0.8187999725341797
40_E9,Plate2_Rep1,16,0.9556999802589417
40_E11,Plate2_Rep1,16,1.1811000108718872
fRS585,Plate2_Rep1,16,1.089400053024292
Blank,Plate2_Rep1,16,0.05770000070333481
40_B2,Plate1_Rep3,16,0.8622999787330627
40_B6,Plate1_Rep3,16,0.7002000212669373
40_B8,Plate1_Rep3,16,0.7491000294685364
40_C5,Plate1_Rep3,16,0.8604999780654907
40_C7,Plate1_Rep3,16,0.833899974822998
40_C9,Plate1_Rep3,16,1.0053000450134277
fRS585,Plate1_Rep3,16,0.9153000116348267
Blank,Plate1_Rep3,16,0.05700000002980232
40_B2,Plate1_Rep2,16,0.6187000274658203
40_B6,Plate1_Rep2,16,0.8895999789237976
40_B8,Plate1_Rep2,16,0.968999981880188
40_C5,Plate1_Rep2,16,0.9506999850273132
40_C7,Plate1_Rep2,16,0.7972000241279602
40_C9,Plate1_Rep2,16,0.8201000094413757
fRS585,Plate1_Rep2,16,0.7990000247955322
Blank,Plate1_Rep2,16,0.05640000104904175
40_B2,Plate1_Rep1,16,0.7642999887466431
40_B6,Plate1_Rep1,16,0.8715999722480774
40_B8,Plate1_Rep1,16,0.9075000286102295
40_C5,Plate1_Rep1,16,0.9041000008583069
40_C7,Plate1_Rep1,16,0.9226999878883362
40_C9,Plate1_Rep1,16,0.8241999745368958
fRS585,Plate1_Rep1,16,0.9527000188827515
Blank,Plate1_Rep1,16,0.05640000104904175
40_F2,Plate3_Rep3,8,0.9462000131607056
40_F4,Plate3_Rep3,8,0.9067999720573425
40_F6,Plate3_Rep3,8,0.9905999898910522
40_G5,Plate3_Rep3,8,1.0618000030517578
40_G9,Plate3_Rep3,8,0.9391000270843506
40_G11,Plate3_Rep3,8,0.9024999737739563
fRS585,Plate3_Rep3,8,0.5012000203132629
Blank,Plate3_Rep3,8,0.05730000138282776
40_F2,Plate3_Rep2,8,1.0338000059127808
40_F4,Plate3_Rep2,8,1.1180000305175781
40_F6,Plate3_Rep2,8,0.9562000036239624
40_G5,Plate3_Rep2,8,1.0226000547409058
40_G9,Plate3_Rep2,8,1.0865000486373901
40_G11,Plate3_Rep2,8,1.0983999967575073
fRS585,Plate3_Rep2,8,0.8112000226974487
Blank,Plate3_Rep2,8,0.05700000002980232
40_F2,Plate3_Rep1,8,0.8999000191688538
40_F4,Plate3_Rep1,8,0.9161999821662903
40_F6,Plate3_Rep1,8,1.1318000555038452
40_G5,Plate3_Rep1,8,0.9661999940872192
40_G9,Plate3_Rep1,8,1.1851999759674072
40_G11,Plate3_Rep1,8,1.2151000499725342
fRS585,Plate3_Rep1,8,1.020400047302246
Blank,Plate3_Rep1,8,0.05739999935030937
40_D2,Plate2_Rep3,8,0.8277000188827515
40_D4,Plate2_Rep3,8,0.7926999926567078
40_D8,Plate2_Rep3,8,0.98580002784729
40_E7,Plate2_Rep3,8,1.080199956893921
40_E9,Plate2_Rep3,8,0.9897000193595886
40_E11,Plate2_Rep3,8,1.0628999471664429
fRS585,Plate2_Rep3,8,0.7692999839782715
Blank,Plate2_Rep3,8,0.05820000171661377
40_D2,Plate2_Rep2,8,0.902899980545044
40_D4,Plate2_Rep2,8,0.8902000188827515
40_D8,Plate2_Rep2,8,1.146299958229065
40_E7,Plate2_Rep2,8,1.0586999654769897
40_E9,Plate2_Rep2,8,0.8158000111579895
40_E11,Plate2_Rep2,8,0.8597000241279602
fRS585,Plate2_Rep2,8,0.98089998960495
Blank,Plate2_Rep2,8,0.057100001722574234
40_D2,Plate2_Rep1,8,0.7698000073432922
40_D4,Plate2_Rep1,8,0.7724000215530396
40_D8,Plate2_Rep1,8,0.8119000196456909
40_E7,Plate2_Rep1,8,1.044800043106079
40_E9,Plate2_Rep1,8,0.7702999711036682
40_E11,Plate2_Rep1,8,0.9449999928474426
fRS585,Plate2_Rep1,8,1.0924999713897705
Blank,Plate2_Rep1,8,0.05700000002980232
40_B2,Plate1_Rep3,8,0.8870999813079834
40_B6,Plate1_Rep3,8,0.7426999807357788
40_B8,Plate1_Rep3,8,0.753600001335144
40_C5,Plate1_Rep3,8,0.6269000172615051
40_C7,Plate1_Rep3,8,1.0569000244140625
40_C9,Plate1_Rep3,8,0.975600004196167
fRS585,Plate1_Rep3,8,0.9869999885559082
Blank,Plate1_Rep3,8,0.05700000002980232
40_B2,Plate1_Rep2,8,0.9930999875068665
40_B6,Plate1_Rep2,8,0.9943000078201294
40_B8,Plate1_Rep2,8,1.0547000169754028
40_C5,Plate1_Rep2,8,0.8999999761581421
40_C7,Plate1_Rep2,8,0.8439000248908997
40_C9,Plate1_Rep2,8,1.1038000583648682
fRS585,Plate1_Rep2,8,1.0377999544143677
