population,concentration,OD,sheet_name,set,rep,month,drug
fRS585,2,0.984499990940094,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,1,1.0693999528884888,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,0.5,0.9968000054359436,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,0,1.0156999826431274,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,512,0.05820000171661377,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,256,0.05649999901652336,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,128,0.056699998676776886,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,64,0.0568000003695488,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,32,0.0575999990105629,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,16,0.05719999969005585,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,8,0.05739999935030937,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,4,0.057100001722574234,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,2,0.05730000138282776,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,1,0.057100001722574234,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,0.5,0.05719999969005585,Plate3_Rep1,Plate3,Rep1,February,fluconazole
Blank,0,0.057999998331069946,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_D2,512,0.06419999897480011,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,256,0.07249999791383743,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,128,0.08070000261068344,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,64,0.08250000327825546,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,32,0.1826000064611435,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,16,0.6614999771118164,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,8,0.8277000188827515,Plate2_Rep3,Plate2,Rep3,February,fluconazole
