population,evolution_history,drug,ic50,se_ic50,se_log_ic50,ic50_lower,ic50_upper,n_data,n_boot_ok,n_total_iter
35_C7,35 evolved,fluconazole,16.871650951258264,1.5030732737288388,0.08643387826025611,14.691302360971795,20.468876058921744,36,1000,1000
35_C9,35 evolved,fluconazole,17.352742359365525,1.7594042914918255,0.0981906666630013,14.598245947666875,21.46663147933262,36,1000,1000
40_D2,40 evolved,caspofungin,0.02384816357864363,0.001483379465052583,0.06262503415806439,0.020873872616806573,0.026709157968104073,36,1000,1000
40_D4,40 evolved,caspofungin,0.01910428093954866,0.0019135364122159456,0.0975714805656537,0.016528045594387888,0.022678897010437227,36,1000,1164
40_D8,40 evolved,caspofungin,0.01869915557035187,0.0014653931942172705,0.07989855850223003,0.016100730146093402,0.02106317407549626,36,1000,1046
40_E9,40 evolved,caspofungin,0.018728541446146742,0.0013308263854031797,0.07311949654215055,0.0162082268434943,0.020694553223214902,36,1000,1053
40_B2,40 evolved,caspofungin,0.028995456350324616,0.0017731649321890987,0.06365162604709186,0.02494833599417678,0.030275259010830127,36,1000,1068
40_B6,40 evolved,caspofungin,0.01967232405404605,0.001750061906232837,0.08968972410449251,0.016437448459428124,0.022542140276343544,36,1000,1041
40_B8,40 evolved,caspofungin,0.018068036423842172,8.806487314758561e-4,0.05022958420888563,0.016119575375348184,0.019236640480748923,36,1000,1006
40_C5,40 evolved,caspofungin,0.019635703759124806,0.0018132485815124558,0.09075520179454956,0.01655758356755615,0.022898365001747772,36,1000,1114
40_C7,40 evolved,caspofungin,0.01647561836299869,0.002046578252341033,0.10511411575932518,0.015981542519874874,0.022864311427010998,36,1000,1131
40_F2,40 evolved,caspofungin,0.022573533004114667,0.0015287698409701949,0.0649450002579796,0.020484130853940023,0.026206314106704303,36,1000,1006
40_F4,40 evolved,caspofungin,0.016959588036194944,6.274133940565238e-4,0.0373360189755244,0.015687483184546557,0.018128265392435044,36,1000,1013
