"strain","drug","evolution_history","ic50","ic50_ci_lo","ic50_ci_hi","r2"
"40_G11","amphotericin","evolved_40C",1.88594121424376,1.19447879898438,1.90365884097889,0.962318554539908
"35_B2","amphotericin","evolved_35C",0.294226735064065,0.104322355371534,0.45861014433726,0.974998765854169
"35_B6","amphotericin","evolved_35C",0.254460126161438,0.141036749478513,0.723261102275296,0.982954674730789
"35_B8","amphotericin","evolved_35C",0.317194354267732,0.139917463243385,0.637612044268044,0.962661364993726
"35_C5","amphotericin","evolved_35C",0.289533916947259,0.178150383706163,0.579960833907925,0.971131133679817
"35_C7","amphotericin","evolved_35C",0.314424394434876,0.08586213378721,0.60217906877372,0.951110611666702
"35_C9","amphotericin","evolved_35C",0.336188910023599,0.189567327093861,0.754731074179395,0.966541012058688
"35_D2","amphotericin","evolved_35C",0.298940961197382,0.133878640741393,0.606155993660357,0.980202625650857
"35_D4","amphotericin","evolved_35C",0.103550068422709,0.0204104723088762,0.135191498843558,0.969111845781885
"35_D8","amphotericin","evolved_35C",0.254813558379974,0.134359574358608,0.394804915462613,0.984888529538693
"35_E7","amphotericin","evolved_35C",0.257046137731434,0.163308581862497,0.580905495760119,0.991972460401319
"35_E9","amphotericin","evolved_35C",0.309994257750715,0.176917101625885,0.520988355567544,0.985647137367548
"35_E11","amphotericin","evolved_35C",0.272706825685964,0.111267750140944,0.888140991590465,0.964829533173652
"35_F2","amphotericin","evolved_35C",0.166324165955466,0.0683192535202461,0.307869540600396,0.986176170276356
"35_F4","amphotericin","evolved_35C",0.144537951439025,0.0531375863658858,0.230385359706428,0.978802701983611
"35_F6","amphotericin","evolved_35C",0.142164034049036,0.0578134682224834,0.30488644228536,0.983108850179784
"35_G5","amphotericin","evolved_35C",0.156688315283839,0.0697601383909097,0.25761219766047,0.977789729848023
"35_G9","amphotericin","evolved_35C",0.135953949420751,0.0316886587750649,0.242370232607308,0.96852255704048
"35_G11","amphotericin","evolved_35C",0.105909326751667,0.0307635006721619,0.180992009736963,0.976227999229754
